Date,Province,District,Ga.Pa/Na.Pa.,Ward,Protected Area,Confidence,Lat,Lon,YEAR,DOY,T2M_MIN,T2M_MAX,T2M,QV2M,RH2M,PRECTOTCORR,WS10M,WD2M,GWETTOP,GWETROOT
4/17/2023,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,71,27.3287,84.72321,2023,107,23.7,41.62,32.45,6.1,21.31,0.0,3.84,272.12,0.2,0.35
4/17/2023,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,85,27.33786,84.72164,2023,107,23.7,41.62,32.45,6.1,21.31,0.0,3.84,272.12,0.2,0.35
4/17/2023,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,14,27.33646,84.71104,2023,107,23.7,41.62,32.45,6.1,21.31,0.0,3.84,272.12,0.2,0.35
4/17/2023,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,54,27.34076,84.72907,2023,107,23.7,41.62,32.45,6.1,21.31,0.0,3.84,272.12,0.2,0.35
4/17/2023,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,33,27.2875,84.79944,2023,107,23.7,41.62,32.45,6.1,21.31,0.0,3.84,272.12,0.2,0.35
4/17/2023,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,62,27.26861,84.7983,2023,107,23.7,41.62,32.45,6.1,21.31,0.0,3.84,272.12,0.2,0.35
4/16/2023,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,48,27.38077,84.76866,2023,106,26.39,40.85,32.55,6.59,22.88,0.0,3.77,300.38,0.2,0.36
4/16/2023,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,100,27.37942,84.75825,2023,106,26.39,40.85,32.55,6.59,22.88,0.0,3.77,300.38,0.2,0.36
4/15/2023,Madhes,bara,Jitpur Simara,1,Parsa National Park,40,27.21558,85.04105,2023,105,24.4,40.96,32.39,6.35,22.12,0.0,3.02,203.44,0.2,0.36
4/14/2023,Madhes,bara,Jitpur Simara,1,Parsa National Park,66,27.21325,85.04312,2023,104,23.81,40.65,31.57,5.98,22.0,0.0,3.02,188.56,0.22,0.36
4/14/2023,Madhes,bara,Jitpur Simara,1,Parsa National Park,66,27.21325,85.04312,2023,104,23.81,40.65,31.57,5.98,22.0,0.0,3.02,188.56,0.22,0.36
4/15/2023,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,51,27.25255,84.76357,2023,105,24.4,40.96,32.39,6.35,22.12,0.0,3.02,203.44,0.2,0.36
4/18/2023,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,67,27.35126,84.71767,2023,108,25.82,42.58,33.62,5.86,19.62,0.0,4.41,301.31,0.19,0.35
4/18/2023,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,67,27.34851,84.73295,2023,108,25.82,42.58,33.62,5.86,19.62,0.0,4.41,301.31,0.19,0.35
4/18/2023,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,26,27.28302,84.78288,2023,108,25.82,42.58,33.62,5.86,19.62,0.0,4.41,301.31,0.19,0.35
4/18/2023,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,72,27.35541,84.71955,2023,108,25.82,42.58,33.62,5.86,19.62,0.0,4.41,301.31,0.19,0.35
4/19/2023,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,49,27.35554,84.84766,2023,109,24.73,42.62,33.91,6.65,21.06,0.0,4.48,285.25,0.18,0.35
4/19/2023,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,80,27.36451,84.7258,2023,109,24.73,42.62,33.91,6.65,21.06,0.0,4.48,285.25,0.18,0.35
4/19/2023,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,49,27.35554,84.84766,2023,109,24.73,42.62,33.91,6.65,21.06,0.0,4.48,285.25,0.18,0.35
4/19/2023,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,80,27.36451,84.7258,2023,109,24.73,42.62,33.91,6.65,21.06,0.0,4.48,285.25,0.18,0.35
